soc_code,occ_title,employer_name,agc_type,url,url_type,source_type
47-1011,First-Line Supervisors of Construction Trades,"R. J. Grondin & Sons, Inc",General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Ranger Contracting,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Reed & Reed, Inc",General Contractors,https://reed-reed.com/jobs/,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,Sargent Corporation,General Contractors,https://sargent.us/careers/,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,Scott Construction Corporation,General Contractors,https://www.scottcon.com/,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Shaw Brothers Construction, Inc",General Contractors,https://www.shawbrothers.com/careers/,company_site,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Shaw Earthworks, Inc",General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,The Lander Group,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Turner Construction Company,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Wright-Ryan Construction, Inc",General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,"Wyman & Simpson, Inc",General Contractors,https://www.wymansimpsoninc.com/employment,company_site,local_employer
47-2011,Boilermakers,ConstructionJobs.com,national,https://www.constructionjobs.com/,job_board,job_board
47-2011,Boilermakers,American Defense Industrial,General Contractors,https://www.indeed.com/jobs?q=Boilermakers&l=Maine,indeed_fallback,local_employer
47-2011,Boilermakers,Arthur C Dudley Contractor,General Contractors,https://www.indeed.com/jobs?q=Boilermakers&l=Maine,indeed_fallback,local_employer
47-2011,Boilermakers,Bancroft Contractor Corp,General Contractors,https://www.indeed.com/jobs?q=Boilermakers&l=Maine,indeed_fallback,local_employer
47-2011,Boilermakers,Beaupre's Construction LLC,General Contractors,https://www.indeed.com/jobs?q=Boilermakers&l=Maine,indeed_fallback,local_employer
